Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
25190809,SEAL IGN COIL,E5,2,01-07-2024 08:24:19,0.01
25192537,HOUSING-SHFT CONT (W/SHF CONT SHF),E5,1,07-07-2022 09:50:44,0.01
25193473,SPARK PLUG ASM CRUZE,E1,1,06-11-2023 10:54:20,136.23
25193550,PLUG- ASSY.- SPARK,E1,2,14-02-2025 15:42:51,242.34
25194475,GASKET-SHFT CONT HSG CVR CRUZE-17/MULTI,E5,5,09-04-2021 12:25:00,31.46
25195605,BEARING,E5,4,07-07-2022 09:50:44,0.01
25195785,FILTER OIL AVEO16-18T  ALT PSA1682953580,F4,10,29-04-2025 14:51:58,147.32
25201065,SENSOR-KNOCK CRUZE-17/MULTI,E5,1,08-08-2023 14:04:06,0.01
25203036,CYL-HEAD COVER,E5,1,04-04-2025 16:11:46,2674.12
2560,TOURING HIGH TECH 1L,LUBRICANT,6,08-08-2023 14:04:06,0.01
26296FJ020,PAD KIT F,g7,1,09-01-2025 13:12:34,2770.07
26296FL032,PAD KIT F,g7,1,24-01-2025 08:06:49,1438.68
26296SC011,PAD KIT,g7,1,25-04-2025 14:59:22,2540.8
26296SG000,PAD KIT F,g7,1,29-08-2024 10:33:30,1944.6
26298FL001,SHIM KIT F,g7,1,12-02-2025 16:44:53,447.34
26696AG031,PAD KIT-R,g7,1,13-11-2024 14:51:25,1192.08
26696AL020,PAD KIT R,g7,2,13-03-2025 13:42:34,1191.64
26696FJ000,PAD KIT R,g7,1,25-04-2025 14:59:22,985.19
27028AP,BALL JOINT LOWER,G3,4,21-09-2023 09:29:08,205.5
28171AJ001,WHEEL NUT,g7,3,23-10-2024 15:57:24,36.79
28365FE001,HUB BOLT,g7,8,29-04-2025 07:40:48,31
28411SC011,HOUSING ASSY R   LH,WORKSHOP,1,18-09-2024 08:14:15,2607.91
28473FL020,HUB UNIT COMPL R,g7,1,12-10-2023 15:03:06,1622.78
28473FL040,HUB UNIT COMPL R,g7,1,23-12-2024 09:07:56,2074.84
2AMGR053AA,u-joint,,1,13-05-2025 11:41:44,2092.03
30100AA970,DISK COMPL-CLUTCH,g7,1,25-04-2025 14:52:22,3748.13
30210AA720,COVER CP-CLUTCH,g7,1,25-04-2025 14:52:22,3823.71
302120,GAC Motor Oil 210 litre,LUBRICANT,201,17-01-2025 08:18:30,98.72
302133,GAC Premium oil 5 Litre,LUBRICANT,4,17-01-2025 08:27:04,577.65
30502AA121,BRG-CLUTCH REL,(Blanks),1,25-04-2025 14:52:22,417.56
30502AA141,BRG-CLUTCH REL,g7,1,17-09-2024 12:26:09,453.43
30531AA132,LEVER-CLUTCH REL,g7,1,17-09-2024 12:26:09,235.08
